comparison,start,end_exclusive,length,owner,writer_category,classification,before_sha256,after_sha256
BETA3_TO_V09B_AND_IDENTICAL_V09C,00001674,0000167C,8,stage1:banked_full_name,hook,V09B_EXISTING_UI_FIX,0a1d043e1a4e9c44504c24901d0fa5d3875746865c41e297898eaf3f35cca4e8,bc302d19d45483d5ced57a28b94dc230946d01d2a2d7cc9d72b0acffb102fc66
BETA3_TO_V09B_AND_IDENTICAL_V09C,00001AC8,00001AD0,8,stage1:actor_small_hook,hook,V09B_EXISTING_UI_FIX,da4a5b4d66ceb03a9c905ecef50f40e40dd886333baaad3842b25ed81147b159,7294d55489bad6b39082337dbe4bf64728a53556efc47b40d1a60dc2c7c831bb
BETA3_TO_V09B_AND_IDENTICAL_V09C,00001AF0,00001AF8,8,stage1:banked_small,hook,V09B_EXISTING_UI_FIX,e65b59bdf381234d60e438156f48993d97c813805b4b698aec5815c8b57c90d2,7b3c35ec6705c9b461992e73cdf8e4177fedc4990f801a589ca488b8e2d97d03
BETA3_TO_V09B_AND_IDENTICAL_V09C,00001E10,00001E18,8,stage1:banked_simple,hook,V09B_EXISTING_UI_FIX,18a248b0a5f9772e330cfaede392f67f147a15443b9e716d625fd88e342814ff,c44dd50da90530379bd4587610b08d9366e14a66e0d830b384a3aaa7e4a2f667
BETA3_TO_V09B_AND_IDENTICAL_V09C,00001F28,00001F2C,4,stage1:battle_font_upload_hook,hook,V09B_EXISTING_UI_FIX,cc3b7a768b161e2e99ef0f71b5ad6f58df8dee4712c7777f98f9be101ff712d8,8bdadb00ad3389fd9d10292c291d2b47f6d30d0531c80bbc0dbfbd0813d70c8c
BETA3_TO_V09B_AND_IDENTICAL_V09C,00001F2D,00001F30,3,stage1:battle_font_upload_hook,hook,V09B_EXISTING_UI_FIX,f4caf1f765f67d2629aa9a78d29716f7d6bc010863f8d7341dc03f1117b784fd,19a4f63f729afe97e7390865b43285c66c996e6490c1beaeec982aa5dcd5a7b7
BETA3_TO_V09B_AND_IDENTICAL_V09C,00002158,0000215B,3,stage1:ascii_loader_2158,pointer,V09B_EXISTING_POINTER,e38146a1c4d589c4650eff00c675945a4eb3194eeda76b8664269144808f196d,8b475cb3ab659d52429fd2cb9499cb67188b71062cb4775bc4d639670a07f760
BETA3_TO_V09B_AND_IDENTICAL_V09C,000021D4,000021D7,3,stage1:ascii_loader_21D4,pointer,V09B_EXISTING_POINTER,e38146a1c4d589c4650eff00c675945a4eb3194eeda76b8664269144808f196d,8b475cb3ab659d52429fd2cb9499cb67188b71062cb4775bc4d639670a07f760
BETA3_TO_V09B_AND_IDENTICAL_V09C,000025D8,000025E2,10,stage1:actor_format_string_hook,hook,V09B_EXISTING_UI_FIX,2c5c37f9fcb9197a55bad3aa4588ed30a6f76adf8138ac2b2ca6264d4e27fb51,e1c0c27290eaf0c2dd4b30b5ba9675cb589523949b7c5cdb7afa94193c480e2f
BETA3_TO_V09B_AND_IDENTICAL_V09C,00005078,00005080,8,stage1:banked_convert,hook,V09B_EXISTING_UI_FIX,c4e9484f62e4ce63d70a4aa9b6c067902471dc44d9e745eec7f268323c8f916c,9ca951ae6f8dea8e3d2d0b166716ec9db81cc679aa9997729ed384209cef2ed2
BETA3_TO_V09B_AND_IDENTICAL_V09C,000092EC,000092EF,3,stage1:UI_000092EC_pointer,pointer,V09B_EXISTING_POINTER,7a7f43f76ecf34ec01696f7ec25a605b5ea71fee9db4e8f2b730a93a5cb5382c,b512c096fac7eabdd78125e871ce40381107f8305e86d302fbbb6457fb338bda
BETA3_TO_V09B_AND_IDENTICAL_V09C,00009720,00009728,8,stage1:banked_name_init_first_hook,hook,V09B_EXISTING_UI_FIX,6788109edd6baa2671a9c2fbf3525932e8c97d606f40aa4eb6906eae7f7b193a,15300dee3fe3954cc4e88034911caa7283ceba803091142727388e97a9631ab4
BETA3_TO_V09B_AND_IDENTICAL_V09C,00009734,0000973C,8,stage1:banked_name_init_second_hook,hook,V09B_EXISTING_UI_FIX,3c98429d45a66124ce1c6979fb059cc01aad91cf8f07fc42812a07a12a877561,ef00535dc23047be7eebec184f7056c6274272cd4d1c122d01ee5a1339743198
BETA3_TO_V09B_AND_IDENTICAL_V09C,00009780,00009783,3,stage1:UI_00009780_pointer,pointer,V09B_EXISTING_POINTER,9e5ed765f9e5bb913b51032a7577cc6ff9a099a50b43703086f2be7bebae6893,6dc5a3a0505a6709638632115efe86806a06228fc251f31782b4d0c6af5e3903
BETA3_TO_V09B_AND_IDENTICAL_V09C,00009784,00009787,3,stage1:DEFAULT_00009784_FULL_pointer,pointer,V09B_EXISTING_POINTER,ae371662dc8c0b5fe18a42dda291f98e685fc1317c155d4d60c2c9c77554414c,155e2e456b62a5cd7f05567a049c1edf1777c2ff8152bff4ebea81ed2ebc9829
BETA3_TO_V09B_AND_IDENTICAL_V09C,00009788,0000978B,3,stage1:UI_00009788_pointer,pointer,V09B_EXISTING_POINTER,8b014f43a0eaa401f6d450ed78f5d305cf6ac2ab2210bc5db0ca573671d93e6d,1d9284ac5df0766549194b9ec4e5dfe3a62c85db29ac9adc28e12fe431d8303e
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000978C,0000978F,3,stage1:DEFAULT_0000978C_FULL_pointer,pointer,V09B_EXISTING_POINTER,6f1a13eb6fe7e513c62ecde2bc08b95536a462c993472571d474e925cd513824,bd682a0f857e87b9fc2eba8de906ca83d13301b727b06f6aaa7a48ffd919e508
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000A515,0000A517,2,stage2:D00006_ptr_0000A514,review,V09B_EXISTING_POINTER,1639a98223e8099a8cdb6f9ef86bf77bc467896f7a3da7340309fc6ba277e1a1,8286ccbaf7188d5a37e0ab2ee7c8b56c3e552ba52940a7cea4c2b00211143324
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000A518,0000A51B,3,stage2:D00007_ptr_0000A518,review,V09B_EXISTING_POINTER,e38bd46f04160a99ceb338798f63bf70afdce37aa8496916cad5789ebb7df1f0,15036352f18a0bdf6f6c605d29c04a26fdaf7e239ce4c414e2f7bf17af021f4d
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000A530,0000A533,3,stage2:D00008_ptr_0000A530,review,V09B_EXISTING_POINTER,a0edb903b5641166fd01280b9634e9bcfc62d6f9aab71e21d165802754e9881d,ffafab822249f011baaa838bf862ff5508ad98f7afbe8cc78d1d8b4ce021df31
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000B3C4,0000B3C7,3,stage1:UI_0000B3C4_pointer,pointer,V09B_EXISTING_POINTER,c9075fcb83b7c3e5571fd5ead8f1471ada14fb8da0faad5f7c33593325c09900,5866c17d358a4cb6bc8d056e58018085548a421ba2dd759b471d4a61a26d6d34
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000B538,0000B53B,3,stage2:D00010_ptr_0000B538,review,V09B_EXISTING_POINTER,b5200d73834f2d1c432b66b47d41d0feba33764b9fad53069e6f0a782d71ce78,b9ccb139feeeb5f758d1f9968689c3404ec02c846de85659b4b15cb0bcb2d8e1
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000B884,0000B887,3,stage2:D00012_ptr_0000B884,review,V09B_EXISTING_POINTER,d3aef80f2306b1c0bf5ec24d452b7304418d85a186896afedfc835d7b749319c,54373632d25bf1b673b767bdfbc1a5f220b06aacfa3063bcc66f2bac6a3a49b1
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000BEC0,0000BEC3,3,stage2:D00016_ptr_0000BEC0,review,V09B_EXISTING_POINTER,bffa06df5560dc1bc4da89cc5849492eeaefca99c842a2e071833a63cce5ca50,9292193c5e04b4cfc620d4d1a478c9f90cc9b3c6a574c2a19ab8238fb84f0efe
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D524,0000D527,3,stage1:UI_0000D524_pointer,pointer,V09B_EXISTING_POINTER,fc14c0a58dfe72ad935ad7bb651cf58b30dad84f5b1f3b064258feb427f56e5b,5b1cae723d5a2d97cfa26c3f98da81a5e2fb81712fec97ae0e75e87098102b06
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D528,0000D52B,3,stage1:REFERENCE_NAME_0000D528_pointer,pointer,V09B_EXISTING_POINTER,6e6f1837cb69998973f1f51113748ac11652e02ed94b7ca5be0a68cffbf26216,ee5b3ac2f6236179fdc2e50f1699d2d37540d2418b39f7cd72bd341cdedbf83a
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D52C,0000D52F,3,stage3:JP_REVIEW_0,japanese_review,V09B_EXISTING_POINTER,c2cda33bf356c4825a5de130432deeb6d06279b54be3c4438bada020fc842f88,a1b6b459c3bddc96c582c22451abcb3c1de3d8631b32d1bbbdd9902a7282faaa
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D530,0000D533,3,stage2:D00020_ptr_0000D530,review,V09B_EXISTING_POINTER,b167d446b205c37fa5540d1ea733c5cc05343e114d355089446c517eb3cb0313,08de7194045907660e943786f369ed1f99a1f5363ec102d46bf7cf335fa750f9
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D538,0000D53B,3,stage2:D00022_ptr_0000D538,review,V09B_EXISTING_POINTER,085bea5ab914cdc745c6e735c886d31b93469a0d00a4bf0f3dcb100b7d1197d8,a0213367facd228fe310c5e19db59f773aecb70d309026592b5c59d5dbef5d1c
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D540,0000D543,3,stage1:UI_0000D540_pointer,pointer,V09B_EXISTING_POINTER,5333bb7e7abd71f981e16658638394636ccb799aecf1f493d95e5080ec0803e9,35f42ad896199014693a2d1cc81229996ee5d16bc62dc83c82ad234e751f37ce
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D544,0000D547,3,stage3:JP_REVIEW_2,japanese_review,V09B_EXISTING_POINTER,6b92dd4c32d4fb6a4c5c10b100d30f276f330136e0ebf16640cef19ea74fc33a,bc5aa89859ac718bcc236dbf3c51afcd536d7d9500a09d1eb30aa30dd14bcd2d
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D548,0000D54B,3,stage2:D00025_ptr_0000D548,review,V09B_EXISTING_POINTER,7bec514db8e12d372159fa265389c0045b36e40bce1478e558cb0112fd234d5b,28e4a9bd79877336e74d2b5234e6fa4dae5468f0e52893bf8517305740a152cb
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D54C,0000D54F,3,stage2:D00026_ptr_0000D54C,review,V09B_EXISTING_POINTER,72e0419c00c6fc0d2c248eede379cb0e17d879318c115242bca74205ca63a763,00dfef7e4498f75cc6d7fdad56e0871a0bbc0d7316820163d12cb4bf13a82cc3
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D5B8,0000D5BB,3,stage1:UI_0000D5B8_pointer,pointer,V09B_EXISTING_POINTER,1badb9d0b55d876ddaaca2b9628fc31b2c3c0f6b6a8f9935e0e111735b016bd5,d8a4d06ea824ffb9a128d6283d1c29e86055c573204f925802145bee9ba5b755
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D5BC,0000D5BF,3,stage3:JP_REVIEW_4,japanese_review,V09B_EXISTING_POINTER,af7b5a0a98066b99bde01af93ccaa38d4e4f1fd8507130944d42e93a0428c040,d7bb5787cea646445571619979fe4b3d79bae1bd5b97663bcd1a0b7d69302346
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D5C0,0000D5C3,3,stage2:D00029_ptr_0000D5C0,review,V09B_EXISTING_POINTER,199d75e81489b49dc1777dbdb33832df1c0d6fbab71122c69b277a680d97338f,a5bb6c558d2b6577a305580dd5aaf40c76eb307cd4994e52d896d442fc6e295b
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D5C4,0000D5C7,3,stage2:D00030_ptr_0000D5C4,review,V09B_EXISTING_POINTER,3b420ca6d4911c3fceb3cccd979168c8955eb9823a81e6252eb947a2523166fb,68532ffe75622d3ef3ecfbec870ce5a525ae9fe8b0e68ff4f15135781e9a7637
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D5C8,0000D5CB,3,stage3:JP_REVIEW_6,japanese_review,V09B_EXISTING_POINTER,ad7f9b91717038d1718645343fd71dc4c10ce136295fef2a287fe215400078f5,38a34aa12d3b80341b1495baf1b82cbe11969e05ccb8b9ed7752c2cf1020781f
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D5D0,0000D5D3,3,stage3:JP_REVIEW_8,japanese_review,V09B_EXISTING_POINTER,1599483793f8ce9841d2b2450b6c957d620cab7cdff141ba97aea9417ec5b064,13d0a888ab3a25a3923ae469c06bdd6d1787e5b1df2ef426ced6910788eb182f
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D5D4,0000D5D7,3,stage2:D00034_ptr_0000D5D4,review,V09B_EXISTING_POINTER,6f6f49826b1228b6c183d23d9fab18819d53f824d4da0f9577024eceab7dc1ca,d03035e0f8598109bbd73d0984574b052d50398e8c3e4b805d6b0da4b6d5d5c5
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D630,0000D633,3,stage1:UI_0000D630_pointer,pointer,V09B_EXISTING_POINTER,df54206f4f15e467d0953360625d14e0dbfe937eeba04c8683d510b2939b0766,7cb1ed92de2aacb69d0dafbf2f20c5df1448183f937de602d700377141b3d72a
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D634,0000D637,3,stage2:D00035_ptr_0000D634,review,V09B_EXISTING_POINTER,dae1555228f655d70d4acfd72b2670c837d95429a413c731e7a2b68ea087ca98,03c63c435d7577d4ec37e1978a5158724f9024bf2d4fb5d62aadba7c8552a880
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D638,0000D63B,3,stage2:D00036_ptr_0000D638,review,V09B_EXISTING_POINTER,b0c547a60734bd735f9cc859f42aaed0a3f1cead744aa71b30a545ab02dd6422,af079a2f8c22694be70967239e5761252b2af480c412c8b0831c9d303d6a9f3b
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D63C,0000D63F,3,stage2:D00037_ptr_0000D63C,review,V09B_EXISTING_POINTER,7f786a3730c5e6f29c637e9e26db3967e5de025665b0b31c0088cd5b1ae8e27c,541c02c80ac2ef0388d81687b2c325f06dc0a07eb7d5c7bf8a3cdf39a78258b6
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D640,0000D643,3,stage2:D00038_ptr_0000D640,review,V09B_EXISTING_POINTER,7dcc6cdf251d322c098230faed2457baa526ed9dd4c2549afad896ec73cd1ec7,4662c82c36048439f73fd19c65ea4912ce868a5fba4f8a44b94bd5804d3ff36a
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D6F4,0000D6F7,3,stage1:UI_0000D6F4_pointer,pointer,V09B_EXISTING_POINTER,2a6f0f1458fbb0c74e25fe5bae8a5e3e5fae16861e0692f6c9748a80e553a764,31a391a281964302f69cb0de5992efe9dbc9e52546a44094826beb2b56d76dbf
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D6F8,0000D6FB,3,stage2:D00040_ptr_0000D6F8,review,V09B_EXISTING_POINTER,751b9da559d492848f67ae3b7ffaa4cff82458632ba73b5a64a5e8ab9f4d17a0,2bffd14fbe8f39a438937c48c79250abbb1471148b8fec6d3b67f219ad694276
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D700,0000D703,3,stage2:D00042_ptr_0000D700,review,V09B_EXISTING_POINTER,136017ab2f01d5f004b3e9d739dec9930eac4a403824762003508ea709f65339,4529c8dcdf70bcf01adb5ef4038857fefc67c3f53aef8c888c53b0cb0685c459
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D704,0000D707,3,stage2:D00043_ptr_0000D704,review,V09B_EXISTING_POINTER,3bed405a18ff94940cabb1981bc1339c997a09a3e4e78316416816ae5e51c468,4181bb297401be675e6f97a398062f02105ad30b2f12d5bfec41a5517d8990a1
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D708,0000D70B,3,stage1:UI_0000D708_pointer,pointer,V09B_EXISTING_POINTER,d757c5edd3df26f1c15e4bf06b3560a5d6474407320c66621df152d690ed33fb,2750d4897b46873c018017b7514299c84d4bc46ce4a722277b3e40334264572c
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D70C,0000D70F,3,stage2:D00044_ptr_0000D70C,review,V09B_EXISTING_POINTER,02c0110fe9951d574375f0d379787acf132c7d023fb25b582e45874a260ecfde,fb4c044ed4c46d24c4a1f00f649770aad24899f35df77cdce2f0538d628c528c
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D714,0000D717,3,stage2:D00046_ptr_0000D714,review,V09B_EXISTING_POINTER,17498db08b3e38478e98e065b413642c837d2ff28e806b996074c441147ea5eb,cd1c8d8fe37d0c76aec06bfb29783ea6366694aded9e85213277f914f690b6fe
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D718,0000D71B,3,stage2:D00047_ptr_0000D718,review,V09B_EXISTING_POINTER,d13ae9e657a6cd99a5c541758951be447ef30170d9ae69e08828e791173b676a,1ce7eac87bc72252602adc9e144d2a42baa25ba4b0f4c8f165bc722e797945eb
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D71C,0000D71F,3,stage2:D00048_ptr_0000D71C,review,V09B_EXISTING_POINTER,664297c6dfd7d363f980bd5cdf4a2dffe642560760bf0163f2408f873da0ac17,aa0953315be91a89dfdf4300dca68cba47b03fe0a6fdf4c830017065162c6d86
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D720,0000D723,3,stage3:JP_REVIEW_10,japanese_review,V09B_EXISTING_POINTER,4f3243fce047c497e6dae14f17a006b899d86f8b2920c41ab6ab6e5e83de61ac,446f2bd6f32a4549cbdc41e5d045e15f99bd06dbf627dfc67e18863e0e643896
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D774,0000D777,3,stage1:UI_0000D774_pointer,pointer,V09B_EXISTING_POINTER,a4991d69b351d8db02216a98b8764646eae2b68b16dda760c4ee48b8eb5a9ddc,fdf9910bbbef4ad687c1193b9badaab9271a3a3f843dcd63f1b1d2170a9d5884
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D778,0000D77B,3,stage3:JP_REVIEW_12,japanese_review,V09B_EXISTING_POINTER,25443b77c87da1cd959baa1b1554e950e4701b9ac974f0831bafefe6a15abb8f,3563910603a07b181b5134a9cf7ae0683af80b436c5348465fea5048347e6530
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D77C,0000D77F,3,stage2:D00051_ptr_0000D77C,review,V09B_EXISTING_POINTER,460283787de1a543cc7e35ff2297a0ee03b96952387265725d3c677b04109395,0f7465a585a992382c6e226cf7e88b9e9382ff6926791214edd2a0a26d7671f2
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D780,0000D783,3,stage2:D00052_ptr_0000D780,review,V09B_EXISTING_POINTER,13c556ce80ef2d7fb3b1310864a8102ea19b0c3427e2947d371fbcd503686b19,8905ce05c229a7089d97c5a71c59fd72fedabea785cd225a93c15a498a5fcadf
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D784,0000D787,3,stage2:D00053_ptr_0000D784,review,V09B_EXISTING_POINTER,ed22553065247dbfa77a8644c583fe13de3ef8cf255d7803008c3c6e66ae0bd6,4fb9f06c1f394f5ee76a5643656d70d55846d98e49f703a8dec47feccec9ccb9
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D85C,0000D85F,3,stage1:UI_0000D85C_pointer,pointer,V09B_EXISTING_POINTER,abbdfe8820da4cf81ec6b349f5a6a1e4d1961cfdddbf84904bf80eeba585b3c8,c4138cd1658de9e6853fab209e06475b906ab8dcda25ef90383663f504081820
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D860,0000D863,3,stage2:D00054_ptr_0000D860,review,V09B_EXISTING_POINTER,69c7c1c62c5436394df0225b997d87ff1887ec1a0099e7d160509382d983dc45,daa0a7436fbf708bfff9f2a474e370c3aee4385b5870181b87af07e806f588fc
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D864,0000D867,3,stage1:UI_0000D864_pointer,pointer,V09B_EXISTING_POINTER,99a3543e298431e9b31149bc45e302cb8a15b9a9d6437c556c77d815b5e00216,125dd3edaddd63d8e723373a0699c4e1901ec518076d834be87bc6cc09d31563
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D874,0000D877,3,stage3:JP_REVIEW_14,japanese_review,V09B_EXISTING_POINTER,19c4cba0c4ed307ec0d73fd1fc913496ba6df2289917473ccd4a5c3e3ad0aa93,11c804b4e8bac4ace598b29fc6acbf6e2f945c701ed01f683062f85f2c6fa853
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D878,0000D87B,3,stage2:D00059_ptr_0000D878,review,V09B_EXISTING_POINTER,d7217663fbd0ce91994f48aedb69ebfd56345760a706fa49553ef7bd35c8d3a3,5a5f4b77e2ba003407d61d9bce75700b7788b9f252637945ea0056633348d25a
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D87C,0000D87F,3,stage3:JP_REVIEW_16,japanese_review,V09B_EXISTING_POINTER,4db76451896927df1282023ce0201bdf0b1256a06c51cf71578a202819b1ab3e,5a28b9d18441c28a9690360ac710199534e9c33ec6beab6d8d40e0eb96691faa
BETA3_TO_V09B_AND_IDENTICAL_V09C,0000D948,0000D94B,3,stage1:UI_0000D948_pointer,pointer,V09B_EXISTING_POINTER,6ff98c966c7aec849e38b8937f458c913e3de5201c6c78fe9df285bbc73513d4,94d5e98a651dc7edc79c828a9cd94cf99bf7defa366f42396e46378b98089301
