id,storage,target,kind,storage_alignment,range_result,terminator
ascii_loader_2158,00002158,08C18000,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
ascii_loader_21D4,000021D4,08C18000,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
D00000,000091FC,088046E2,full_text,0,PASS,PASS
D00001,0000924C,088046E9,full_text,0,PASS,PASS
D00002,00009298,088046EF,full_text,0,PASS,PASS
D00003,000092AC,088046EC,full_text,0,PASS,PASS
D00003,000092C8,088046EC,full_text,0,PASS,PASS
UI_000092EC_pointer,000092EC,08C0D672,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
UI_00009780_pointer,00009780,08C0D676,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
D00004,00009784,08C0F1CE,full_text,0,PASS,PASS
UI_00009788_pointer,00009788,08C0D680,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
D00005,0000978C,08C0F1D5,full_text,0,PASS,PASS
D00006,0000A514,08C20000,full_text,0,PASS,PASS
D00007,0000A518,08C2002B,full_text,0,PASS,PASS
D00008,0000A530,08C20051,full_text,0,PASS,PASS
D00009,0000A5D8,08804783,full_text,0,PASS,PASS
UI_0000B3C4_pointer,0000B3C4,08C0D687,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
D00010,0000B538,08C2007D,full_text,0,PASS,PASS
D00011,0000B83C,088048A7,full_text,0,PASS,PASS
D00012,0000B884,08C200B7,full_text,0,PASS,PASS
D00013,0000B9D8,0880491D,full_text,0,PASS,PASS
D00014,0000B9DC,0880495A,full_text,0,PASS,PASS
D00015,0000BE6C,08804C49,full_text,0,PASS,PASS
D00016,0000BEC0,08C200E8,full_text,0,PASS,PASS
D00017,0000BF5C,08804C9C,full_text,0,PASS,PASS
UI_0000D524_pointer,0000D524,08C0D698,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
D00018,0000D528,08C0F2F3,full_text,0,PASS,PASS
D00019,0000D52C,08C70000,full_text,0,PASS,PASS
D00020,0000D530,08C20163,full_text,0,PASS,PASS
D00021,0000D534,08804EEA,full_text,0,PASS,PASS
D00022,0000D538,08C201B4,full_text,0,PASS,PASS
D00023,0000D53C,08804F3C,full_text,0,PASS,PASS
UI_0000D540_pointer,0000D540,08C0D6A6,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
D00024,0000D544,08C7002D,full_text,0,PASS,PASS
D00025,0000D548,08C20230,full_text,0,PASS,PASS
D00026,0000D54C,08C20260,full_text,0,PASS,PASS
D00027,0000D550,08805023,full_text,0,PASS,PASS
UI_0000D5B8_pointer,0000D5B8,08C0D6B0,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
D00028,0000D5BC,08C70080,full_text,0,PASS,PASS
D00029,0000D5C0,08C2029D,full_text,0,PASS,PASS
D00030,0000D5C4,08C202D0,full_text,0,PASS,PASS
D00031,0000D5C8,08C700BD,full_text,0,PASS,PASS
D00032,0000D5CC,0880510C,full_text,0,PASS,PASS
D00033,0000D5D0,08C700E8,full_text,0,PASS,PASS
D00034,0000D5D4,08C20338,full_text,0,PASS,PASS
UI_0000D630_pointer,0000D630,08C0D6B7,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
D00035,0000D634,08C20369,full_text,0,PASS,PASS
D00036,0000D638,08C20398,full_text,0,PASS,PASS
D00037,0000D63C,08C203E7,full_text,0,PASS,PASS
D00038,0000D640,08C20416,full_text,0,PASS,PASS
D00039,0000D644,088052A3,full_text,0,PASS,PASS
UI_0000D6F4_pointer,0000D6F4,08C0D6C4,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
D00040,0000D6F8,08C20443,full_text,0,PASS,PASS
D00041,0000D6FC,0880531B,full_text,0,PASS,PASS
D00042,0000D700,08C20486,full_text,0,PASS,PASS
D00043,0000D704,08C204C7,full_text,0,PASS,PASS
UI_0000D708_pointer,0000D708,08C0D6CE,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
D00044,0000D70C,08C20508,full_text,0,PASS,PASS
D00045,0000D710,08805435,full_text,0,PASS,PASS
D00046,0000D714,08C2054F,full_text,0,PASS,PASS
D00047,0000D718,08C205A0,full_text,0,PASS,PASS
D00048,0000D71C,08C205DF,full_text,0,PASS,PASS
D00049,0000D720,08C70129,full_text,0,PASS,PASS
UI_0000D774_pointer,0000D774,08C0D6D2,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
D00050,0000D778,08C7015E,full_text,0,PASS,PASS
D00051,0000D77C,08C2066E,full_text,0,PASS,PASS
D00052,0000D780,08C206BF,full_text,0,PASS,PASS
D00053,0000D784,08C206FE,full_text,0,PASS,PASS
UI_0000D85C_pointer,0000D85C,08C0D6DF,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
D00054,0000D860,08C20737,full_text,0,PASS,PASS
UI_0000D864_pointer,0000D864,08C0D6E6,other_declared_pointer,0,ROM,NOT_A_TEXT_ASSERTION
D00055,0000D868,088056DC,full_text,0,PASS,PASS
D00056,0000D86C,088056FB,full_text,0,PASS,PASS
D00057,0000D870,08805730,full_text,0,PASS,PASS
D00058,0000D874,08C70193,full_text,0,PASS,PASS
D00059,0000D878,08C20785,full_text,0,PASS,PASS
D00060,0000D87C,08C701B6,full_text,0,PASS,PASS
D00061,0000D880,088057DF,full_text,0,PASS,PASS
